Access Type,Super Admin,Admin,Engineer,Developer,Tester,Production Support
Everything,X,,,,,
..........|- Timelines,X,X,X,X,X,X
..........|- Utilization,X,X,X,X,X,X
.......|- Operate,X,X,X,X,X,X
..........|- Analysis,X,X,,,,
..........|- Check Compliance,X,X,,,,
..........|- Console using MKS,X,X,X,X,X,X
..........|- Console using VMRC,X,X,X,X,X,X
..........|- Console using VNC,X,X,X,X,X,X
..........|- Edit Tags,X,X,,,,
..........|- Extract Running Processes,X,X,,,,
..........|- Manage Policies,X,X,,,,
..........|- Policy Simulation,X,X,,,,
..........|- Power Off,X,X,X,X,X,X
..........|- Power On,X,X,X,X,X,X
..........|- Refresh,X,X,X,X,X,X
..........|- Reset,X,X,X,X,X,X
..........|- Restart Guest,X,X,X,X,X,X
..........|- Retire VMs,X,X,X,X,X,X
..........|- Set Ownership,X,X,,,,
..........|- Set Retirement Date,X,X,,,,
..........|- Shutdown Guest,X,X,X,X,X,X
..........|- Suspend,X,X,X,X,X,X
.......|- Modify,X,X,X,X,X,X
..........|- Mark as VDI Desktops,X,X,,,,
..........|- Clone VMs,X,X,,,,
..........|- Edit,X,X,,,,
..........|- Edit EVM Server Relationship,X,X,,,,
..........|- Migrate VMs,X,X,,,,
..........|- Provision VMs,X,X,X,X,X,X
..........|- Publish VMs to a Template,X,X,,,,
..........|- Reconfigure VMs,X,X,,,,
..........|- Remove,X,X,,,,
..........|- Right-Size VMs,X,X,X,X,X,X
.......|- Snapshots,X,X,X,X,X,X
..........|- View,X,X,X,X,X,X
...........|- List,X,X,X,X,X,X
..........|- Operate,X,X,X,X,X,X
...........|- Create new Snapshots,X,X,X,X,X,X
...........|- Delete All Existing Snapshots,X,X,,,,
...........|- Delete Snapshots,X,X,,,,
...........|- Revert to selected snapshot,X,X,X,X,X,X
..|- PXE,X,X,,,,
....|- Customization Templates,X,X,,,,
.......|- View,X,X,,,,
.......|- Modify,X,X,,,,
..........|- Add,X,X,,,,
..........|- Copy,X,X,,,,
..........|- Edit,X,X,,,,
..........|- Remove,X,X,,,,
....|- ISO Datastores,X,X,,,,
.......|- View,X,X,,,,
.......|- Operate,X,X,,,,
..........|- Refresh,X,X,,,,
.......|- Modify,X,X,,,,
..........|- Add,X,X,,,,
..........|- Edit ISO Images,X,X,,,,
..........|- Remove,X,X,,,,
....|- PXE Servers,X,X,,,,
.......|- View,X,X,,,,
.......|- Operate,X,X,,,,
..........|- Refresh,X,X,,,,
.......|- Modify,X,X,,,,
..........|- Add,X,X,,,,
..........|- Edit,X,X,,,,
..........|- Edit PXE Image,X,X,,,,
..........|- Edit Windows Image,X,X,,,,
..........|- Remove,X,X,,,,
....|- System Image Types,X,X,,,,
.......|- View,X,X,,,,
.......|- Modify,X,X,,,,
..........|- Add,X,X,,,,
..........|- Edit,X,X,,,,
..........|- Remove,X,X,,,,
|- Control,X,X,,,,
..|- Explorer,X,X,,,,
....|- View All Records,X,X,,,,
....|- Actions,X,X,,,,
.......|- Modify,X,X,,,,
..........|- Add,X,X,,,,
..........|- Delete,X,X,,,,
..........|- Edit,X,X,,,,
....|- Alert Profiles,X,X,,,,
.......|- Modify,X,X,,,,
..........|- Add,X,X,,,,
..........|- Delete,X,X,,,,
..........|- Edit,X,X,,,,
....|- Alerts,X,X,,,,
.......|- Modify,X,X,,,,
..........|- Add/Copy,X,X,,,,
..........|- Delete,X,X,,,,
..........|- Edit,X,X,,,,
....|- Conditions,X,X,,,,
.......|- Host Conditions,X,X,,,,
..........|- Modify,X,X,,,,
.............|- Add/Copy,X,X,,,,
.............|- Delete,X,X,,,,
.............|- Edit,X,X,,,,
.......|- VM Conditions,X,X,,,,
..........|- Modify,X,X,,,,
.............|- Add/Copy,X,X,,,,
.............|- Delete,X,X,,,,
.............|- Edit,X,X,,,,
....|- Events,X,X,,,,
....|- Policies,X,X,,,,
.......|- Compliance,X,X,,,,
..........|- Host Compliance Policy,X,X,,,,
...........|- Modify,X,X,,,,
...............|- Add/Copy,X,X,,,,
...............|- Delete,X,X,,,,
...............|- Edit,X,X,,,,
..........|- VM Compliance Policy,X,X,,,,
...........|- Modify,X,X,,,,
...............|- Add/Copy,X,X,,,,
...............|- Delete,X,X,,,,
...............|- Edit,X,X,,,,
.......|- Control,X,X,,,,
..........|- Host Control Policy,X,X,,,,
...........|- Modify,X,X,,,,
...............|- Add/Copy,X,X,,,,
...............|- Delete,X,X,,,,
...............|- Edit,X,X,,,,
..........|- VM Control Policy,X,X,,,,
...........|- Modify,X,X,,,,
...............|- Add/Copy,X,X,,,,
...............|- Delete,X,X,,,,
...............|- Edit,X,X,,,,
....|- Policy Profiles,X,X,,,,
.......|- Modify,X,X,,,,
..........|- Add,X,X,,,,
..........|- Delete,X,X,,,,
..........|- Edit,X,X,,,,
..|- Simulation,X,X,,,,
..|- Import/Export,X,X,,,,
..|- Log,X,X,,,,
|- Automate,X,,,,,
..|- Explorer,X,,,,,
..|- Simulation,X,,,,,
..|- Buttons,X,,,,,
..|- Import/Export,X,,,,,
..|- Log,X,,,,,
|- Optimize,X,X,,,,
..|- Utilization,X,X,,,,
..|- Planning,X,X,,,,
..|- Bottlenecks,X,X,,,,
|- Settings & Operations,X,X,X,X,X,X
..|- My Settings,X,X,X,X,X,X
....|- Modify,X,X,X,X,X,X
.......|- Default Filters,X,X,,,,
.......|- Default Views,X,X,X,X,X,X
.......|- Time Profiles,X,X,X,X,X,X
.......|- Visual,X,X,X,X,X,X
..|- Tasks,X,X,,,,
....|- View,X,X,,,,
.......|- All Other Tasks,X,X,,,,
.......|- All VM Analysis Tasks,X,X,,,,
.......|- Other UI Tasks,X,X,,,,
.......|- VM Analysis Tasks,X,X,,,,
..|- Configuration,X,X,,,,
....|- Access Control,X,X,,,,
....|- Database,X,,,,,
....|- Diagnostics,X,X,,,,
....|- Settings,X,,,,,
..|- SmartProxies,X,X,,,,
.....|- View,X,X,,,,
.......|- List,X,X,,,,
.......|- Show,X,X,,,,
.....|- Operate,X,X,,,,
.......|- Deploy,X,X,,,,
.....|- Modify,X,X,,,,
.......|- Add,X,X,,,,
.......|- Edit,X,X,,,,
..|- About,X,X,X,X,X,X
